0.344167,0.805833,985
0.363478,0.696087,801
0.196364,0.437273,1349
0.2,0.590435,1562
0.226957,0.436957,1600
0.204348,0.518261,1606
0.196522,0.498696,1510
0.165,0.535833,959
0.138333,0.434167,822
0.150833,0.482917,1321
0.169091,0.686364,1263
0.172727,0.599545,1162
0.165,0.470417,1406
0.16087,0.537826,1421
0.233333,0.49875,1248
0.231667,0.48375,1204
0.175833,0.5375,1000
0.216667,0.861667,683
0.292174,0.741739,1650
0.261667,0.538333,1927
0.1775,0.457083,1543
0.0591304,0.4,981
0.0965217,0.436522,986
0.0973913,0.491739,1416
0.223478,0.616957,1985
0.2175,0.8625,506
0.195,0.6875,431
0.203478,0.793043,1167
0.196522,0.651739,1098
0.216522,0.722174,1096
0.180833,0.60375,1501
0.192174,0.829565,1360
0.26,0.775417,1526
0.186957,0.437826,1550
0.211304,0.585217,1708
0.233333,0.929167,1005
0.285833,0.568333,1623
0.271667,0.738333,1712
0.220833,0.537917,1530
0.134783,0.494783,1605
0.144348,0.437391,1538
0.189091,0.506364,1746
0.2225,0.544167,1472
0.316522,0.457391,1589
0.415,0.375833,1913
0.266087,0.314348,1815
0.318261,0.423478,2115
0.435833,0.505,2475
0.521667,0.516667,2927
0.399167,0.187917,1635
0.285217,0.407826,1812
0.303333,0.605,1107
0.182222,0.577778,1450
0.221739,0.423043,1917
0.295652,0.697391,1807
0.364348,0.712174,1461
0.2825,0.537917,1969
0.343478,0.68,2402
0.407273,0.876364,1446
0.266667,0.535,1851
0.335,0.449583,2134
0.198333,0.318333,1685
0.261667,0.610417,1944
0.384167,0.789167,2077
0.376522,0.948261,605
0.261739,0.551304,1872
0.2925,0.420833,2133
0.295833,0.775417,1891
0.389091,0,623
0.316522,0.649565,1977
0.329167,0.594583,2132
0.384348,0.527391,2417
0.325217,0.496957,2046
0.317391,0.655652,2056
0.365217,0.776522,2192
0.415,0.602917,2744
0.54,0.525217,3239
0.4725,0.379167,3117
0.3325,0.47375,2471
0.430435,0.737391,2077
0.441667,0.624583,2703
0.346957,0.839565,2121
0.285,0.805833,1865
0.264167,0.495,2210
0.265833,0.394167,2496
0.253043,0.493913,1693
0.264348,0.302174,2028
0.3025,0.314167,2425
0.3,0.646667,1536
0.268333,0.918333,1685
0.3,0.68625,2227
0.315,0.65375,2252
0.378333,0.48,3249
0.573333,0.42625,3115
0.414167,0.642083,1795
0.390833,0.470833,2808
0.4375,0.602917,3141
0.335833,0.83625,1471
0.3425,0.8775,2455
0.426667,0.8575,2895
0.595652,0.716956,3348
0.5025,0.739167,2034
0.4125,0.819167,2162
0.4675,0.540417,3267
0.446667,0.67125,3126
0.430833,0.888333,795
0.456667,0.479583,3744
0.5125,0.5425,3429
0.505833,0.665833,3204
0.595,0.614167,3944
0.459167,0.407083,4189
0.336667,0.729583,1683
0.46,0.887917,4036
